"spikeFac","species","timepoint","response","SE","df","lower.CL","upper.CL","null","t.ratio","p.value","metric","amend"
"SL-0","L","TP1",6.45009439246454,0.24082163534030146,35.823304477855075,5.979641345726104,6.957560707455873,1,49.92735463735253,1.0264551342721534e-34,"Shannon_BS","BS"
"SL-1","L","TP1",6.39672739220254,0.23882911748020383,35.823304477855075,5.930166795146371,6.8999950159318155,1,49.70482894786584,1.2019139781323617e-34,"Shannon_BS","BS"
"SL-2","L","TP1",6.446322374617185,0.24068080274913903,35.823304477855,5.97614444901352,6.953491923099285,1,49.91168693701903,1.0379001563262027e-34,"Shannon_BS","BS"
"SL-0","R","TP1",6.015578078910766,0.22459847288018178,35.823304477855075,5.576817517759476,6.4888584767626,1,48.059397429670504,3.945338609845643e-34,"Shannon_BS","BS"
"SL-1","R","TP1",6.293194362343255,0.23496359365289707,35.823304477855146,5.834185194207611,6.788316442465608,1,49.26777989788284,1.641905653229418e-34,"Shannon_BS","BS"
"SL-2","R","TP1",6.272413085249935,0.2341877009558972,35.823304477855075,5.814919649215063,6.765900181840935,1,49.17918887712415,1.7496517862160478e-34,"Shannon_BS","BS"
"SL-0","P","TP1",5.5083734018060815,0.20566140741098507,35.823304477855075,5.106607025723254,5.941749067606647,1,45.70020665979714,2.3278048974446917e-33,"Shannon_BS","BS"
"SL-1","P","TP1",5.567594173036585,0.2078724824908327,35.823304477855075,5.161508388498568,6.005629080193741,1,45.9866225353618,1.8678047611689555e-33,"Shannon_BS","BS"
"SL-2","P","TP1",6.021735875378234,0.2248283812389061,35.823304477855,5.5825261806277995,6.4955007427729425,1,48.08680031825262,3.866764290161585e-34,"Shannon_BS","BS"
"SL-0","L","TP2",6.588088058908401,0.24597378636284128,35.823304477855075,6.10757011437793,7.106411135544065,1,50.49432307290601,6.887457070097671e-35,"Shannon_BS","BS"
"SL-1","L","TP2",6.454080094733102,0.24097044608319784,35.823304477855075,5.983336341276043,6.961859988025746,1,49.94389995866014,1.014509728182656e-34,"Shannon_BS","BS"
"SL-2","L","TP2",6.6002506729739485,0.2464278914396135,35.823304477855,6.118845619124564,7.119530652960935,1,50.54372427546863,6.653502275020539e-35,"Shannon_BS","BS"
"SL-0","R","TP2",6.405274587165454,0.23914823675866675,35.823304477855075,5.938090580021511,6.909214668267819,1,49.74059296955887,1.1717600730201754e-34,"Shannon_BS","BS"
"SL-1","R","TP2",6.276284834123057,0.23433225711872505,35.823304477855075,5.818509002832746,6.770076543641196,1,49.19571645051458,1.7290129859454507e-34,"Shannon_BS","BS"
"SL-2","R","TP2",6.101256067072827,0.2277973583485804,35.823304477855075,5.656246377131059,6.581277248901289,1,48.438178179733555,2.9905264679831982e-34,"Shannon_BS","BS"
"SL-0","P","TP2",6.418716172703525,0.2396500936949973,35.823304477855146,5.950551771400268,6.9237137812567475,1,49.79674015974566,1.1259795425484737e-34,"Shannon_BS","BS"
"SL-1","P","TP2",6.263070273452867,0.23383887641492995,35.823304477855075,5.806258277720662,6.755822316882496,1,49.13926459086039,1.8005580841509306e-34,"Shannon_BS","BS"
"SL-2","P","TP2",6.322600311443318,0.23606149832221232,35.823304477855075,5.861446350145804,6.820035928038265,1,49.392639498169885,1.501501916625746e-34,"Shannon_BS","BS"
"SL-0","L","TP1",5.193139922719303,0.24545493256319129,36,4.71844920571028,5.715586007433005,1,34.853075829083025,2.4616979466548448e-29,"Shannon_RW","RW"
"SL-1","L","TP1",6.215047182774733,0.29375561025249886,35.99999999999993,5.646946718057924,6.840300327360009,1,38.653645985345094,6.518302143173234e-31,"Shannon_RW","RW"
"SL-2","L","TP1",5.970851323633903,0.28221363776001945,36,5.425072134521295,6.571537602621493,1,37.805584894855954,1.4218575415862236e-30,"Shannon_RW","RW"
"SL-0","R","TP1",6.21346187651867,0.29368068039388456,36,5.645506320310887,6.838555534346632,1,38.64824861276221,6.550398797468728e-31,"Shannon_RW","RW"
"SL-1","R","TP1",5.717375861231198,0.270233062721344,36,5.1947661708770845,6.292561717570067,1,36.88779423789907,3.370372735057977e-30,"Shannon_RW","RW"
"SL-2","R","TP1",6.071164635040009,0.28695496910344354,36,5.516216080490395,6.681942746246389,1,38.158083717372406,1.0261118813871592e-30,"Shannon_RW","RW"
"SL-0","P","TP1",5.888608641427458,0.2783264187913019,36,5.350347030960195,6.481021049894608,1,37.51213931620875,1.8695966734428506e-30,"Shannon_RW","RW"
"SL-1","P","TP1",5.238948066523553,0.24762006483685223,36,4.760070152375441,5.76600259347734,1,35.03888301244131,2.0437298897352053e-29,"Shannon_RW","RW"
"SL-2","P","TP1",5.877525981527779,0.2778025943654674,36,5.34027740669068,6.468823439818548,1,37.472282869539036,1.9407263984919844e-30,"Shannon_RW","RW"
"SL-0","L","TP2",6.55068352758096,0.3096195379737126,36,5.951903462556571,7.209702736019915,1,39.76643200623128,2.400389915709728e-31,"Shannon_RW","RW"
"SL-1","L","TP2",6.731389201547962,0.3181606325094691,35.99999999999993,6.116091325099368,7.408587964794709,1,40.34216482922381,1.4466118360638887e-31,"Shannon_RW","RW"
"SL-2","L","TP2",6.51737233879046,0.30804507710421025,36,5.921637158426739,7.1730403376683904,1,39.65857003672196,2.6413363507065296e-31,"Shannon_RW","RW"
"SL-0","R","TP2",6.438068768809188,0.3042967759393188,36,5.849582510880832,7.0857585810298955,1,39.399549490910914,3.3267927288146183e-31,"Shannon_RW","RW"
"SL-1","R","TP2",6.352463854060043,0.30025064028930404,35.99999999999993,5.771802507257997,6.991541544672535,1,39.11634195190953,4.288522540765015e-31,"Shannon_RW","RW"
"SL-2","R","TP2",6.175994662779535,0.2919097840655502,36,5.611463882106174,6.797319001965127,1,38.520284343430276,7.360845188021028e-31,"Shannon_RW","RW"
"SL-0","P","TP2",6.24945665826014,0.29538198189094744,36,5.678210917499715,6.8781715034758495,1,38.770459318444324,5.861851096513867e-31,"Shannon_RW","RW"
"SL-1","P","TP2",6.063328134077826,0.28658457511371316,36,5.5090958926482,6.6733178688286365,1,38.13075691094508,1.0522818330407843e-30,"Shannon_RW","RW"
"SL-2","P","TP2",6.583387479524636,0.3111652976563597,36,5.981618035698946,7.245696807602558,1,39.87179546763243,2.1867850811794556e-31,"Shannon_RW","RW"
"SL-0","L","TP1",197.09293761714451,63.24550838808962,35.963552737506014,102.80703006719631,377.8499002759393,1,16.465597779256175,2.503333939737163e-18,"InvSimpson_BS","BS"
"SL-1","L","TP1",177.89996836414107,57.08664185254114,35.96355273750609,92.79565071018855,341.05476390056225,1,16.146318932628365,4.6651182261008224e-18,"InvSimpson_BS","BS"
"SL-2","L","TP1",214.32965075302582,68.77662836833008,35.96355273750609,111.79799294513782,410.8946679790272,1,16.72686924417799,1.5145616849543052e-18,"InvSimpson_BS","BS"
"SL-0","R","TP1",154.79141813292458,49.671297471587216,35.963552737506014,80.74183768597528,296.75300704437365,1,15.712705815279199,1.1031431838354692e-17,"InvSimpson_BS","BS"
"SL-1","R","TP1",149.50835597566504,47.97600612314322,35.96355273750609,77.9861025662152,286.62476737528027,1,15.604487915534177,1.3712875693127952e-17,"InvSimpson_BS","BS"
"SL-2","R","TP1",175.76174738009476,56.400504262746914,35.96355273750609,91.68031826015338,336.9555475848603,1,16.108636303168186,5.023883866180901e-18,"InvSimpson_BS","BS"
"SL-0","P","TP1",69.16731205027416,22.19522356988148,35.96355273750609,36.07884694190653,132.60171712148377,1,13.202357690682835,2.3391545198070278e-15,"InvSimpson_BS","BS"
"SL-1","P","TP1",55.74375686490388,17.88771472487419,35.96355273750609,29.07689213705315,106.8672131384272,1,12.529972297042573,1.1052307168094878e-14,"InvSimpson_BS","BS"
"SL-2","P","TP1",138.36548724770296,44.400350870743125,35.96355273750609,72.17379262654758,265.2626024567839,1,15.363117956780762,2.2370536100302266e-17,"InvSimpson_BS","BS"
"SL-0","L","TP2",354.88520604237766,113.87975412473477,35.963552737506014,185.11416232921488,680.3558835425978,1,18.29836191905635,8.347093497693696e-20,"InvSimpson_BS","BS"
"SL-1","L","TP2",335.54644994679734,107.67410578621283,35.963552737506014,175.0267380743562,643.2812569703872,1,18.123742385596167,1.140331839183818e-19,"InvSimpson_BS","BS"
"SL-2","L","TP2",381.06796267783875,122.28158614587015,35.963552737506014,198.77153372571175,730.5512487508413,1,18.520191719791583,5.635237674522692e-20,"InvSimpson_BS","BS"
"SL-0","R","TP2",302.3830707696735,97.03224920179031,35.963552737506014,157.72815517528127,579.7032329864396,1,17.799440750337787,2.04877601718804e-19,"InvSimpson_BS","BS"
"SL-1","R","TP2",289.0786431550955,92.76296741792933,35.963552737506014,150.78833933847167,554.1971103004923,1,17.659219384514028,2.64651045492521e-19,"InvSimpson_BS","BS"
"SL-2","R","TP2",214.57630460205266,68.85577756700854,35.963552737506014,111.92665178994305,411.36753186438114,1,16.73045348546973,1.5042209450821687e-18,"InvSimpson_BS","BS"
"SL-0","P","TP2",289.51817122419214,92.90400837310982,35.963552737506014,151.0176046584843,555.0397363178646,1,17.663953970745844,2.623663528710272e-19,"InvSimpson_BS","BS"
"SL-1","P","TP2",284.2778754449218,91.2224404048668,35.963552737506014,148.2841772092117,544.9934847293887,1,17.60703176851169,2.9122765290165073e-19,"InvSimpson_BS","BS"
"SL-2","P","TP2",278.71316226693426,89.43676955216796,35.963552737506014,145.3815281243624,534.3252875591214,1,17.545425228672357,3.2615119035577296e-19,"InvSimpson_BS","BS"
"SL-0","L","TP1",31.304552700857432,14.048224066795795,35.99565443154087,12.599192383608429,77.78078070112724,1,7.673957699963739,4.380022027459396e-9,"InvSimpson_RW","RW"
"SL-1","L","TP1",135.1533673669211,60.65139490399011,35.99565443154087,54.39538756615755,335.80848538677407,1,10.933266409890196,5.441357926660818e-13,"InvSimpson_RW","RW"
"SL-2","L","TP1",140.24267291637088,62.93527052381648,35.99565443154087,56.44368834621399,348.45361603743316,1,11.015635895268034,4.4123767042189647e-13,"InvSimpson_RW","RW"
"SL-0","R","TP1",118.2454332415242,53.063794168404684,35.99565443154087,47.590424821891325,293.7982280007747,1,10.6354505446001,1.1695728409282378e-12,"InvSimpson_RW","RW"
"SL-1","R","TP1",79.92718120896076,35.86810395856948,35.9956544315408,32.16841787691945,198.59087632014496,1,9.762719871021597,1.1768746565574592e-11,"InvSimpson_RW","RW"
"SL-2","R","TP1",94.18623327990905,42.26699297599037,35.99565443154087,37.907280909606925,234.01959535454935,1,10.128523694761475,4.417683093737965e-12,"InvSimpson_RW","RW"
"SL-0","P","TP1",62.01664518510171,27.83057581932543,35.99565443154087,24.959936375378344,154.08950656656071,1,9.197354660197357,5.537055022898771e-11,"InvSimpson_RW","RW"
"SL-1","P","TP1",33.73711217607145,15.139858912697225,35.99565443154087,13.578228407718479,83.82483368256113,1,7.840717169562604,2.6790608360636916e-9,"InvSimpson_RW","RW"
"SL-2","P","TP1",87.08269170572471,39.079209248315266,35.9956544315408,35.04830740011935,216.36979806586814,1,9.953784591772925,7.0391520885827e-12,"InvSimpson_RW","RW"
"SL-0","L","TP2",317.9742087888463,142.69403480106172,35.9956544315408,127.97557811604248,790.0538442046576,1,12.839765459216922,5.289903479617639e-15,"InvSimpson_RW","RW"
"SL-1","L","TP2",442.3698667029388,198.5178024176419,35.99565443154087,178.04129350006284,1099.1332129740272,1,13.575517808341345,9.945508487143386e-16,"InvSimpson_RW","RW"
"SL-2","L","TP2",357.46774087313503,160.41714342398356,35.9956544315408,143.870601865241,888.1813526062347,1,13.1006508011653,2.9039183642300654e-15,"InvSimpson_RW","RW"
"SL-0","R","TP2",329.8898056205986,148.04127536960286,35.99565443154087,132.77126704612743,819.6599028808511,1,12.921743397581123,4.377542394748309e-15,"InvSimpson_RW","RW"
"SL-1","R","TP2",269.9241601855413,121.13110573927172,35.99565443154087,108.63679975431897,670.6664078529539,1,12.474694317884197,1.2410190566608805e-14,"InvSimpson_RW","RW"
"SL-2","R","TP2",207.54028427846046,93.13573154330525,35.9956544315408,83.52906345476984,515.6644623665362,1,11.889045640576281,5.0403167668251914e-14,"InvSimpson_RW","RW"
"SL-0","P","TP2",313.27733060746107,140.58626479913684,35.9956544315408,126.08521819379305,778.3837572592457,1,12.806604206087304,5.7121987221133326e-15,"InvSimpson_RW","RW"
"SL-1","P","TP2",240.3119870040204,107.84235352696575,35.9956544315408,96.7187420080253,597.0905938068202,1,12.215751755545618,2.2943567943536037e-14,"InvSimpson_RW","RW"
"SL-2","P","TP2",415.54320781412065,186.47907697617296,35.99565443154087,167.24432605639765,1032.4784202378269,1,13.436111963298691,1.3585825816801737e-15,"InvSimpson_RW","RW"
