species,timepoint,treat,contrast,stat.f,eff_fmt,model,metric
L,TP1,SL-0,RW / control,"t = -3.36, df = 40, p = 0.00371**",-0.395 [-0.668 to -0.122],Amendment,Shannon
L,TP1,SL-0,BS / control,"t = -0.65, df = 40, p > 0.1",-0.0766 [-0.349 to 0.196],Amendment,Shannon
R,TP1,SL-0,RW / control,"t = -0.204, df = 40, p > 0.1",-0.024 [-0.297 to 0.249],Amendment,Shannon
R,TP1,SL-0,BS / control,"t = -0.617, df = 40, p > 0.1",-0.0726 [-0.345 to 0.2],Amendment,Shannon
P,TP1,SL-0,RW / control,"t = 2.64, df = 40, p = 0.0237*",0.31 [0.0378 to 0.583],Amendment,Shannon
P,TP1,SL-0,BS / control,"t = 1.84, df = 40, p > 0.1",0.217 [-0.0556 to 0.49],Amendment,Shannon
L,TP2,SL-0,RW / control,"t = 0.136, df = 40, p > 0.1",0.016 [-0.257 to 0.289],Amendment,Shannon
L,TP2,SL-0,BS / control,"t = 0.223, df = 40, p > 0.1",0.0262 [-0.246 to 0.299],Amendment,Shannon
R,TP2,SL-0,RW / control,"t = 0.785, df = 40, p > 0.1",0.0924 [-0.18 to 0.365],Amendment,Shannon
R,TP2,SL-0,BS / control,"t = 0.71, df = 40, p > 0.1",0.0835 [-0.189 to 0.356],Amendment,Shannon
P,TP2,SL-0,RW / control,"t = -0.59, df = 40, p > 0.1",-0.0695 [-0.342 to 0.203],Amendment,Shannon
P,TP2,SL-0,BS / control,"t = -0.251, df = 40, p > 0.1",-0.0295 [-0.302 to 0.243],Amendment,Shannon
NA,TP1,control,L / R,"t = 0.934, df = 40, p > 0.1",0.11 [-0.178 to 0.398],Amendment,Shannon
NA,TP1,control,L / P,"t = 4.45, df = 40, p < 0.001",0.523 [0.235 to 0.811],Amendment,Shannon
NA,TP1,control,R / P,"t = 3.51, df = 40, p = 0.00346**",0.413 [0.125 to 0.701],Amendment,Shannon
NA,TP1,RW,L / R,"t = -2.22, df = 40, p = 0.0818.",-0.261 [-0.549 to 0.0268],Amendment,Shannon
NA,TP1,RW,L / P,"t = -1.55, df = 40, p > 0.1",-0.182 [-0.47 to 0.106],Amendment,Shannon
NA,TP1,RW,R / P,"t = 0.671, df = 40, p > 0.1",0.0789 [-0.209 to 0.367],Amendment,Shannon
NA,TP1,BS,L / R,"t = 0.9, df = 40, p > 0.1",0.106 [-0.182 to 0.394],Amendment,Shannon
NA,TP1,BS,L / P,"t = 1.95, df = 40, p > 0.1",0.23 [-0.0583 to 0.518],Amendment,Shannon
NA,TP1,BS,R / P,"t = 1.05, df = 40, p > 0.1",0.124 [-0.164 to 0.412],Amendment,Shannon
NA,TP2,control,L / R,"t = 0.872, df = 40, p > 0.1",0.103 [-0.185 to 0.391],Amendment,Shannon
NA,TP2,control,L / P,"t = -0.136, df = 40, p > 0.1",-0.0159 [-0.304 to 0.272],Amendment,Shannon
NA,TP2,control,R / P,"t = -1.01, df = 40, p > 0.1",-0.119 [-0.407 to 0.169],Amendment,Shannon
NA,TP2,RW,L / R,"t = 0.224, df = 40, p > 0.1",0.0263 [-0.262 to 0.314],Amendment,Shannon
NA,TP2,RW,L / P,"t = 0.591, df = 40, p > 0.1",0.0696 [-0.218 to 0.357],Amendment,Shannon
NA,TP2,RW,R / P,"t = 0.367, df = 40, p > 0.1",0.0433 [-0.245 to 0.331],Amendment,Shannon
NA,TP2,BS,L / R,"t = 0.386, df = 40, p > 0.1",0.0454 [-0.243 to 0.333],Amendment,Shannon
NA,TP2,BS,L / P,"t = 0.338, df = 40, p > 0.1",0.0398 [-0.248 to 0.328],Amendment,Shannon
NA,TP2,BS,R / P,"t = -0.0475, df = 40, p > 0.1",-0.00559 [-0.294 to 0.282],Amendment,Shannon
L,NA,control,TP2 / TP1,"t = -0.681, df = 20, p > 0.1",-0.0745 [-0.304 to 0.155],Amendment,Shannon
L,NA,RW,TP2 / TP1,"t = 3.08, df = 20, p = 0.00649**",0.337 [0.107 to 0.566],Amendment,Shannon
L,NA,BS,TP2 / TP1,"t = 0.258, df = 20, p > 0.1",0.0283 [-0.202 to 0.258],Amendment,Shannon
R,NA,control,TP2 / TP1,"t = -0.615, df = 20, p > 0.1",-0.0672 [-0.297 to 0.163],Amendment,Shannon
R,NA,RW,TP2 / TP1,"t = 0.449, df = 20, p > 0.1",0.0491 [-0.181 to 0.279],Amendment,Shannon
R,NA,BS,TP2 / TP1,"t = 0.812, df = 20, p > 0.1",0.0888 [-0.141 to 0.319],Amendment,Shannon
P,NA,control,TP2 / TP1,"t = 4.25, df = 20, p < 0.001",0.465 [0.235 to 0.694],Amendment,Shannon
P,NA,RW,TP2 / TP1,"t = 0.776, df = 20, p > 0.1",0.0848 [-0.145 to 0.315],Amendment,Shannon
P,NA,BS,TP2 / TP1,"t = 1.99, df = 20, p = 0.0615.",0.218 [-0.0117 to 0.448],Amendment,Shannon
L,TP1,SL-0,RW / control,"t = -3.11, df = 40, p = 0.0071**",-3.24 [-5.65 to -0.829],Amendment,InvSimpson
L,TP1,SL-0,BS / control,"t = -0.508, df = 40, p > 0.1",-0.528 [-2.94 to 1.88],Amendment,InvSimpson
R,TP1,SL-0,RW / control,"t = -0.0708, df = 40, p > 0.1",-0.0736 [-2.48 to 2.33],Amendment,InvSimpson
R,TP1,SL-0,BS / control,"t = 0.294, df = 40, p > 0.1",0.306 [-2.1 to 2.71],Amendment,InvSimpson
P,TP1,SL-0,RW / control,"t = 0.635, df = 40, p > 0.1",0.66 [-1.75 to 3.07],Amendment,InvSimpson
P,TP1,SL-0,BS / control,"t = 0.793, df = 40, p > 0.1",0.824 [-1.58 to 3.23],Amendment,InvSimpson
L,TP2,SL-0,RW / control,"t = 0.734, df = 40, p > 0.1",0.763 [-1.65 to 3.17],Amendment,InvSimpson
L,TP2,SL-0,BS / control,"t = 0.937, df = 40, p > 0.1",0.974 [-1.43 to 3.38],Amendment,InvSimpson
R,TP2,SL-0,RW / control,"t = 1.08, df = 40, p > 0.1",1.12 [-1.28 to 3.53],Amendment,InvSimpson
R,TP2,SL-0,BS / control,"t = 0.947, df = 40, p > 0.1",0.984 [-1.42 to 3.39],Amendment,InvSimpson
P,TP2,SL-0,RW / control,"t = -0.202, df = 40, p > 0.1",-0.21 [-2.62 to 2.2],Amendment,InvSimpson
P,TP2,SL-0,BS / control,"t = -0.282, df = 40, p > 0.1",-0.293 [-2.7 to 2.12],Amendment,InvSimpson
NA,TP1,control,L / R,"t = 1.16, df = 40, p > 0.1",1.2 [-1.34 to 3.75],Amendment,InvSimpson
NA,TP1,control,L / P,"t = 2.79, df = 40, p = 0.0225*",2.9 [0.357 to 5.44],Amendment,InvSimpson
NA,TP1,control,R / P,"t = 1.63, df = 40, p > 0.1",1.7 [-0.846 to 4.24],Amendment,InvSimpson
NA,TP1,RW,L / R,"t = -1.89, df = 40, p > 0.1",-1.96 [-4.5 to 0.582],Amendment,InvSimpson
NA,TP1,RW,L / P,"t = -0.959, df = 40, p > 0.1",-0.997 [-3.54 to 1.55],Amendment,InvSimpson
NA,TP1,RW,R / P,"t = 0.928, df = 40, p > 0.1",0.964 [-1.58 to 3.51],Amendment,InvSimpson
NA,TP1,BS,L / R,"t = 0.355, df = 40, p > 0.1",0.369 [-2.17 to 2.91],Amendment,InvSimpson
NA,TP1,BS,L / P,"t = 1.49, df = 40, p > 0.1",1.55 [-0.995 to 4.09],Amendment,InvSimpson
NA,TP1,BS,R / P,"t = 1.13, df = 40, p > 0.1",1.18 [-1.36 to 3.72],Amendment,InvSimpson
NA,TP2,control,L / R,"t = 0.304, df = 40, p > 0.1",0.316 [-2.23 to 2.86],Amendment,InvSimpson
NA,TP2,control,L / P,"t = -0.899, df = 40, p > 0.1",-0.934 [-3.48 to 1.61],Amendment,InvSimpson
NA,TP2,control,R / P,"t = -1.2, df = 40, p > 0.1",-1.25 [-3.79 to 1.29],Amendment,InvSimpson
NA,TP2,RW,L / R,"t = -0.0443, df = 40, p > 0.1",-0.046 [-2.59 to 2.5],Amendment,InvSimpson
NA,TP2,RW,L / P,"t = 0.037, df = 40, p > 0.1",0.0385 [-2.5 to 2.58],Amendment,InvSimpson
NA,TP2,RW,R / P,"t = 0.0813, df = 40, p > 0.1",0.0845 [-2.46 to 2.63],Amendment,InvSimpson
NA,TP2,BS,L / R,"t = 0.294, df = 40, p > 0.1",0.306 [-2.24 to 2.85],Amendment,InvSimpson
NA,TP2,BS,L / P,"t = 0.32, df = 40, p > 0.1",0.332 [-2.21 to 2.88],Amendment,InvSimpson
NA,TP2,BS,R / P,"t = 0.0257, df = 40, p > 0.1",0.0267 [-2.52 to 2.57],Amendment,InvSimpson
L,NA,control,TP2 / TP1,"t = -0.668, df = 20, p > 0.1",-0.639 [-2.65 to 1.37],Amendment,InvSimpson
L,NA,RW,TP2 / TP1,"t = 3.52, df = 20, p = 0.00245**",3.36 [1.35 to 5.37],Amendment,InvSimpson
L,NA,BS,TP2 / TP1,"t = 0.903, df = 20, p > 0.1",0.863 [-1.14 to 2.87],Amendment,InvSimpson
R,NA,control,TP2 / TP1,"t = 0.259, df = 20, p > 0.1",0.248 [-1.76 to 2.25],Amendment,InvSimpson
R,NA,RW,TP2 / TP1,"t = 1.51, df = 20, p > 0.1",1.45 [-0.561 to 3.45],Amendment,InvSimpson
R,NA,BS,TP2 / TP1,"t = 0.969, df = 20, p > 0.1",0.926 [-1.08 to 2.93],Amendment,InvSimpson
P,NA,control,TP2 / TP1,"t = 3.34, df = 20, p = 0.00361**",3.2 [1.19 to 5.2],Amendment,InvSimpson
P,NA,RW,TP2 / TP1,"t = 2.43, df = 20, p = 0.0256*",2.33 [0.319 to 4.33],Amendment,InvSimpson
P,NA,BS,TP2 / TP1,"t = 2.17, df = 20, p = 0.0432*",2.08 [0.0707 to 4.09],Amendment,InvSimpson
L,TP1,NA,linear,"t = -0.0728, df = 40, p > 0.1",-0.00554 [-0.16 to 0.149],Contamination,Shannon
L,TP1,NA,quadratic,"t = 0.203, df = 40, p > 0.1",0.0267 [-0.241 to 0.294],Contamination,Shannon
R,TP1,NA,linear,"t = 0.872, df = 40, p > 0.1",0.0664 [-0.0881 to 0.221],Contamination,Shannon
R,TP1,NA,quadratic,"t = -0.514, df = 40, p > 0.1",-0.0677 [-0.335 to 0.2],Contamination,Shannon
P,TP1,NA,linear,"t = 1.68, df = 40, p > 0.1",0.128 [-0.0263 to 0.283],Contamination,Shannon
P,TP1,NA,quadratic,"t = 0.764, df = 40, p > 0.1",0.101 [-0.167 to 0.368],Contamination,Shannon
L,TP2,NA,linear,"t = -0.0423, df = 40, p > 0.1",-0.00322 [-0.158 to 0.151],Contamination,Shannon
L,TP2,NA,quadratic,"t = 0.471, df = 40, p > 0.1",0.0622 [-0.205 to 0.33],Contamination,Shannon
R,TP2,NA,linear,"t = -0.883, df = 40, p > 0.1",-0.0673 [-0.222 to 0.0872],Contamination,Shannon
R,TP2,NA,quadratic,"t = -0.0569, df = 40, p > 0.1",-0.00751 [-0.275 to 0.26],Contamination,Shannon
P,TP2,NA,linear,"t = -0.293, df = 40, p > 0.1",-0.0223 [-0.177 to 0.132],Contamination,Shannon
P,TP2,NA,quadratic,"t = 0.352, df = 40, p > 0.1",0.0464 [-0.221 to 0.314],Contamination,Shannon
NA,TP1,SL-0,L / R,"t = 1.39, df = 40, p > 0.1",0.106 [-0.0803 to 0.292],Contamination,Shannon
NA,TP1,SL-0,L / P,"t = 3.02, df = 40, p = 0.0127*",0.23 [0.0434 to 0.416],Contamination,Shannon
NA,TP1,SL-0,R / P,"t = 1.62, df = 40, p > 0.1",0.124 [-0.0625 to 0.31],Contamination,Shannon
NA,TP1,SL-1,L / R,"t = 0.299, df = 40, p > 0.1",0.0228 [-0.163 to 0.209],Contamination,Shannon
NA,TP1,SL-1,L / P,"t = 2.62, df = 40, p = 0.0332*",0.2 [0.0136 to 0.386],Contamination,Shannon
NA,TP1,SL-1,R / P,"t = 2.32, df = 40, p = 0.0652.",0.177 [-0.00917 to 0.363],Contamination,Shannon
NA,TP1,SL-2,L / R,"t = 0.447, df = 40, p > 0.1",0.034 [-0.152 to 0.22],Contamination,Shannon
NA,TP1,SL-2,L / P,"t = 1.26, df = 40, p > 0.1",0.0959 [-0.0903 to 0.282],Contamination,Shannon
NA,TP1,SL-2,R / P,"t = 0.812, df = 40, p > 0.1",0.0619 [-0.124 to 0.248],Contamination,Shannon
NA,TP2,SL-0,L / R,"t = 0.596, df = 40, p > 0.1",0.0454 [-0.141 to 0.232],Contamination,Shannon
NA,TP2,SL-0,L / P,"t = 0.523, df = 40, p > 0.1",0.0398 [-0.146 to 0.226],Contamination,Shannon
NA,TP2,SL-0,R / P,"t = -0.0734, df = 40, p > 0.1",-0.00559 [-0.192 to 0.181],Contamination,Shannon
NA,TP2,SL-1,L / R,"t = 0.559, df = 40, p > 0.1",0.0425 [-0.144 to 0.229],Contamination,Shannon
NA,TP2,SL-1,L / P,"t = 0.544, df = 40, p > 0.1",0.0414 [-0.145 to 0.228],Contamination,Shannon
NA,TP2,SL-1,R / P,"t = -0.0146, df = 40, p > 0.1",-0.00111 [-0.187 to 0.185],Contamination,Shannon
NA,TP2,SL-2,L / R,"t = 1.44, df = 40, p > 0.1",0.109 [-0.0768 to 0.296],Contamination,Shannon
NA,TP2,SL-2,L / P,"t = 0.773, df = 40, p > 0.1",0.0589 [-0.127 to 0.245],Contamination,Shannon
NA,TP2,SL-2,R / P,"t = -0.663, df = 40, p > 0.1",-0.0505 [-0.237 to 0.136],Contamination,Shannon
L,NA,SL-0,TP2 / TP1,"t = 0.39, df = 20, p > 0.1",0.0283 [-0.124 to 0.181],Contamination,Shannon
L,NA,SL-1,TP2 / TP1,"t = 0.161, df = 20, p > 0.1",0.0117 [-0.141 to 0.164],Contamination,Shannon
L,NA,SL-2,TP2 / TP1,"t = 0.422, df = 20, p > 0.1",0.0306 [-0.122 to 0.183],Contamination,Shannon
R,NA,SL-0,TP2 / TP1,"t = 1.23, df = 20, p > 0.1",0.0888 [-0.0635 to 0.241],Contamination,Shannon
R,NA,SL-1,TP2 / TP1,"t = -0.112, df = 20, p > 0.1",-0.00809 [-0.16 to 0.144],Contamination,Shannon
R,NA,SL-2,TP2 / TP1,"t = -0.618, df = 20, p > 0.1",-0.0448 [-0.197 to 0.108],Contamination,Shannon
P,NA,SL-0,TP2 / TP1,"t = 3.01, df = 20, p = 0.00756**",0.218 [0.0658 to 0.37],Contamination,Shannon
P,NA,SL-1,TP2 / TP1,"t = 2.34, df = 20, p = 0.0307*",0.17 [0.0177 to 0.322],Contamination,Shannon
P,NA,SL-2,TP2 / TP1,"t = 0.932, df = 20, p > 0.1",0.0676 [-0.0848 to 0.22],Contamination,Shannon
